-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        26.36%       13.270s        26.36%       13.270s     138.226ms            96                                                          [[8, 256, 5120], [], []]            --  
                                               aten::mm        16.32%        8.217s        16.33%        8.217s      57.061ms           144                                                    [[2048, 13824], [13824, 5120]]  41747082117120.000  
                                               aten::mm        16.31%        8.211s        16.31%        8.211s      57.019ms           144                                                     [[2048, 5120], [5120, 13824]]  41747082117120.000  
                                 torch_dcpu::linear_cpu        10.06%        5.061s        10.13%        5.101s     106.266ms            48                                              [[2048, 5120], [5120, 5120], [5120]]            --  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...         9.93%        4.996s        10.03%        5.050s     105.213ms            48  [[8, 40, 256, 128], [8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [8, 4            --  
                                               aten::mm         5.54%        2.790s         5.54%        2.790s      29.061ms            96                                                      [[2048, 5120], [5120, 5120]]  10307921510400.000  
                                 torch_dcpu::linear_cpu         2.42%        1.218s         2.44%        1.227s      25.554ms            48                                              [[2048, 5120], [1024, 5120], [1024]]            --  
                                               aten::mm         1.23%     619.585ms         1.23%     619.587ms     619.587ms             1                                                  [[2048, 152064], [152064, 5120]]  3189013217280.000  
                                            aten::copy_         0.94%     472.784ms         0.94%     472.784ms     547.838us           863                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
                                              aten::mul         0.92%     462.457ms         0.92%     462.457ms       1.211ms           382                                                  [[8, 256, 5120], [8, 256, 5120]]  4005560320.000  
                                            aten::addmm         0.80%     403.517ms         0.81%     406.427ms       8.467ms            48                                      [[1024], [2048, 5120], [5120, 1024], [], []]  1030792151040.000  
                                               aten::mm         0.65%     328.842ms         0.65%     328.906ms       6.998ms            47                                                      [[2048, 1024], [1024, 5120]]  1009317314560.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.65%     327.079ms         0.68%     344.463ms       7.176ms            48           [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], []]            --  
