-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        29.15%        7.737s        29.15%        7.737s     120.893ms            64                                                          [[8, 255, 4096], [], []]            --  
                                               aten::mm        17.85%        4.737s        17.85%        4.737s      49.346ms            96                                                     [[2040, 4096], [4096, 14336]]  22999549870080.000  
                                               aten::mm        16.82%        4.465s        16.82%        4.465s      46.513ms            96                                                    [[2040, 14336], [14336, 4096]]  22999549870080.000  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...         8.42%        2.235s         8.61%        2.285s      71.400ms            32  [[8, 32, 255, 128], [8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [8, 3            --  
                                 torch_dcpu::linear_cpu         6.48%        1.721s         6.48%        1.721s      53.772ms            32                                                  [[2040, 4096], [4096, 4096], []]            --  
                                               aten::mm         4.53%        1.202s         4.53%        1.202s      18.780ms            64                                                      [[2040, 4096], [4096, 4096]]  4380866641920.000  
                                 torch_dcpu::linear_cpu         2.16%     574.195ms         2.16%     574.195ms      17.944ms            32                                                  [[2040, 4096], [1024, 4096], []]            --  
                                               aten::mm         1.33%     353.583ms         1.33%     353.585ms     353.585ms             1                                                  [[2040, 128256], [128256, 4096]]  2143373230080.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.97%     257.543ms         1.01%     267.071ms       8.346ms            32           [[8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [], [], [], []]            --  
                                               aten::mm         0.90%     240.017ms         0.90%     240.047ms       7.501ms            32                                                      [[2040, 4096], [4096, 1024]]  547608330240.000  
                                              aten::mul         0.90%     238.734ms         0.90%     238.734ms     939.897us           254                                                  [[8, 255, 4096], [8, 255, 4096]]  2122383360.000  
                                            aten::copy_         0.89%     235.355ms         0.89%     235.355ms     409.313us           575                                              [[8, 255, 4096], [8, 255, 4096], []]            --  
                                               aten::mm         0.88%     233.396ms         0.88%     233.397ms     233.397ms             1                                                    [[2040, 4096], [4096, 128256]]  2143373230080.000  
                                               aten::mm         0.65%     171.925ms         0.65%     171.964ms       5.547ms            31                                                      [[2040, 1024], [1024, 4096]]  530495569920.000  
