-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        27.87%        7.731s        27.87%        7.731s     120.790ms            64                                                          [[8, 255, 4096], [], []]            --  
                                               aten::mm        17.10%        4.743s        17.10%        4.743s      49.410ms            96                                                     [[2040, 4096], [4096, 14336]]  22999549870080.000  
                                               aten::mm        16.63%        4.614s        16.64%        4.614s      48.068ms            96                                                    [[2040, 14336], [14336, 4096]]  22999549870080.000  
                                 torch_dcpu::linear_cpu         8.93%        2.478s         8.93%        2.478s      77.434ms            32                                                  [[2040, 4096], [4096, 4096], []]            --  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...         7.94%        2.203s         8.13%        2.255s      70.463ms            32  [[8, 32, 255, 128], [8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [8, 3            --  
                                               aten::mm         4.56%        1.264s         4.56%        1.264s      19.744ms            64                                                      [[2040, 4096], [4096, 4096]]  4380866641920.000  
                                 torch_dcpu::linear_cpu         2.94%     815.283ms         2.94%     815.283ms      25.478ms            32                                                  [[2040, 4096], [1024, 4096], []]            --  
                                               aten::mm         1.48%     410.346ms         1.48%     410.348ms     410.348ms             1                                                  [[2040, 128256], [128256, 4096]]  2143373230080.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.94%     259.432ms         0.97%     268.388ms       8.387ms            32           [[8, 32, 255, 128], [8, 8, 255, 128], [8, 8, 255, 128], [], [], [], []]            --  
                                               aten::mm         0.88%     244.319ms         0.88%     244.343ms       7.636ms            32                                                      [[2040, 4096], [4096, 1024]]  547608330240.000  
                                               aten::mm         0.86%     239.530ms         0.86%     239.531ms     239.531ms             1                                                    [[2040, 4096], [4096, 128256]]  2143373230080.000  
                                            aten::copy_         0.83%     230.080ms         0.83%     230.080ms     400.140us           575                                              [[8, 255, 4096], [8, 255, 4096], []]            --  
                                              aten::mul         0.82%     226.753ms         0.82%     226.753ms     892.728us           254                                                  [[8, 255, 4096], [8, 255, 4096]]  2122383360.000  
                                               aten::mm         0.61%     168.564ms         0.61%     168.603ms       5.439ms            31                                                      [[2040, 1024], [1024, 4096]]  530495569920.000  
