-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                       aten::bernoulli_        27.66%       12.578s        27.66%       12.578s     131.019ms            96                                                          [[8, 256, 5120], [], []]            --  
                                               aten::mm        18.02%        8.194s        18.02%        8.195s      56.907ms           144                                                     [[2048, 5120], [5120, 13824]]  41747082117120.000  
                                               aten::mm        16.96%        7.709s        16.96%        7.710s      53.539ms           144                                                    [[2048, 13824], [13824, 5120]]  41747082117120.000  
aten::_scaled_dot_product_flash_attention_for_cpu_ba...        10.25%        4.660s        10.38%        4.719s      98.305ms            48  [[8, 40, 256, 128], [8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [8, 4            --  
                                               aten::mm         5.58%        2.537s         5.58%        2.538s      26.433ms            96                                                      [[2048, 5120], [5120, 5120]]  10307921510400.000  
                                 torch_dcpu::linear_cpu         5.55%        2.525s         5.64%        2.565s      53.435ms            48                                              [[2048, 5120], [5120, 5120], [5120]]            --  
                                 torch_dcpu::linear_cpu         2.05%     932.761ms         2.07%     941.122ms      19.607ms            48                                              [[2048, 5120], [1024, 5120], [1024]]            --  
                                               aten::mm         1.26%     570.793ms         1.26%     570.795ms     570.795ms             1                                                  [[2048, 152064], [152064, 5120]]  3189013217280.000  
                                            aten::copy_         1.02%     462.498ms         1.02%     462.498ms     535.919us           863                                              [[8, 256, 5120], [8, 256, 5120], []]            --  
                                              aten::mul         1.00%     456.697ms         1.00%     456.697ms       1.196ms           382                                                  [[8, 256, 5120], [8, 256, 5120]]  4005560320.000  
                                            aten::addmm         0.86%     393.000ms         0.87%     395.929ms       8.249ms            48                                      [[1024], [2048, 5120], [5120, 1024], [], []]  1030792151040.000  
                                               aten::mm         0.72%     327.226ms         0.72%     327.293ms       6.964ms            47                                                      [[2048, 1024], [1024, 5120]]  1009317314560.000  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.71%     324.474ms         0.75%     341.301ms       7.110ms            48           [[8, 40, 256, 128], [8, 8, 256, 128], [8, 8, 256, 128], [], [], [], []]            --  
